epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2935.05,0.96,2.38447,1.5523,0.92477,0.88986,0.92085,0.6135,0.91177,2.15453,1.39871,0.005842,0.005842,0.005842
44,3003.26,0.94982,2.41168,1.55016,0.92325,0.89538,0.91536,0.60295,0.91707,2.13221,1.41023,0.005743,0.005743,0.005743
45,3071.46,0.95082,2.35693,1.54712,0.9299,0.88587,0.92339,0.6019,0.9393,2.14818,1.41434,0.005644,0.005644,0.005644
46,3139.67,0.96176,2.37669,1.56157,0.9276,0.91177,0.92992,0.61312,0.91685,2.09979,1.40373,0.005545,0.005545,0.005545
47,3207.93,0.93954,2.30307,1.53004,0.91512,0.91487,0.92481,0.60521,0.94849,2.17557,1.41985,0.005446,0.005446,0.005446
48,3276.17,0.9391,2.30022,1.53603,0.92518,0.92032,0.93411,0.62237,0.90864,2.06717,1.3982,0.005347,0.005347,0.005347
49,3344.5,0.93521,2.29666,1.53788,0.93034,0.9079,0.93272,0.60695,0.92292,2.04838,1.40501,0.005248,0.005248,0.005248
50,3412.69,0.92764,2.28563,1.52407,0.94505,0.90835,0.9393,0.62763,0.89258,1.99027,1.39695,0.005149,0.005149,0.005149
51,3480.98,0.91677,2.28215,1.51072,0.93049,0.91069,0.93039,0.61494,0.89824,2.05678,1.39412,0.00505,0.00505,0.00505
52,3549.18,0.91386,2.23725,1.50592,0.92614,0.91794,0.93473,0.61402,0.91871,2.11129,1.40321,0.004951,0.004951,0.004951
53,3617.45,0.91082,2.20831,1.50902,0.92186,0.91177,0.92061,0.60275,0.95155,2.13312,1.42138,0.004852,0.004852,0.004852
54,3685.59,0.90617,2.27291,1.51594,0.92603,0.90265,0.92178,0.60297,0.93873,2.09727,1.41406,0.004753,0.004753,0.004753
55,3753.82,0.90971,2.22097,1.52748,0.91504,0.92272,0.93423,0.61119,0.94425,2.02658,1.41935,0.004654,0.004654,0.004654
56,3822.02,0.91107,2.19997,1.5019,0.93697,0.90222,0.92516,0.6174,0.91891,2.01479,1.40934,0.004555,0.004555,0.004555
57,3890.19,0.90374,2.18894,1.51977,0.92173,0.91284,0.93497,0.62108,0.9218,2.01338,1.40612,0.004456,0.004456,0.004456
58,3958.41,0.88507,2.15486,1.48466,0.93539,0.90549,0.928,0.62077,0.9086,2.03774,1.39034,0.004357,0.004357,0.004357
59,4026.62,0.89273,2.1288,1.49468,0.9241,0.9177,0.92627,0.61312,0.92638,2.00514,1.40875,0.004258,0.004258,0.004258
60,4094.78,0.89041,2.12508,1.50637,0.93287,0.90558,0.93223,0.62227,0.90515,1.98005,1.38775,0.004159,0.004159,0.004159
61,4162.99,0.88691,2.1404,1.49815,0.94277,0.9031,0.93463,0.6253,0.92621,2.00497,1.41022,0.00406,0.00406,0.00406
62,4231.19,0.89313,2.10948,1.50531,0.9408,0.91909,0.94272,0.62179,0.91232,1.92996,1.39227,0.003961,0.003961,0.003961
63,4299.37,0.88831,2.08344,1.49146,0.93104,0.91183,0.93341,0.62255,0.89011,1.94008,1.38742,0.003862,0.003862,0.003862
64,4367.7,0.8754,2.09464,1.48432,0.92969,0.91229,0.93002,0.61628,0.90656,1.97182,1.39692,0.003763,0.003763,0.003763
65,4436.03,0.87971,2.09337,1.48378,0.93925,0.92253,0.94104,0.62624,0.88671,1.91324,1.38451,0.003664,0.003664,0.003664
66,4504.21,0.88403,2.07833,1.4948,0.94269,0.91886,0.94137,0.6264,0.87855,1.8904,1.38282,0.003565,0.003565,0.003565
67,4572.44,0.87235,2.04713,1.47796,0.93746,0.91588,0.93514,0.62275,0.89475,1.90866,1.3951,0.003466,0.003466,0.003466
68,4640.67,0.86367,2.02562,1.4737,0.94248,0.91278,0.93813,0.61943,0.90857,1.92728,1.40022,0.003367,0.003367,0.003367
69,4708.87,0.85815,2.02415,1.47253,0.94335,0.92961,0.94533,0.62027,0.92554,1.92705,1.40355,0.003268,0.003268,0.003268
70,4777.13,0.84724,1.99144,1.4554,0.93975,0.92559,0.93766,0.62643,0.9147,1.92051,1.39779,0.003169,0.003169,0.003169
