epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2942.45,0.92987,2.38236,1.52534,0.89294,0.87669,0.90922,0.59765,0.90181,2.22858,1.40233,0.005842,0.005842,0.005842
44,3010.78,0.9309,2.34982,1.53771,0.91304,0.89535,0.92269,0.60362,0.93597,2.18024,1.40902,0.005743,0.005743,0.005743
45,3079.13,0.93168,2.33388,1.53192,0.92378,0.88635,0.91994,0.60792,0.92244,2.1232,1.41076,0.005644,0.005644,0.005644
46,3147.63,0.93364,2.3153,1.53968,0.93009,0.9125,0.92863,0.6157,0.91655,2.11077,1.40414,0.005545,0.005545,0.005545
47,3216.05,0.91003,2.25842,1.50644,0.93397,0.87974,0.91887,0.60952,0.93079,2.14859,1.40244,0.005446,0.005446,0.005446
48,3284.42,0.91967,2.27075,1.52325,0.92048,0.88901,0.92534,0.61923,0.8904,2.09991,1.39083,0.005347,0.005347,0.005347
49,3352.76,0.91476,2.24616,1.51985,0.91597,0.8996,0.91909,0.61661,0.88239,2.04661,1.38369,0.005248,0.005248,0.005248
50,3421.17,0.90422,2.18969,1.49707,0.93127,0.91598,0.9276,0.62118,0.90731,2.04797,1.39382,0.005149,0.005149,0.005149
51,3489.55,0.90179,2.21347,1.49346,0.91905,0.91089,0.92558,0.61978,0.89891,2.05465,1.38622,0.00505,0.00505,0.00505
52,3557.88,0.89321,2.14865,1.48452,0.92465,0.89479,0.92235,0.61328,0.93728,2.10848,1.39832,0.004951,0.004951,0.004951
53,3626.28,0.88608,2.16395,1.48083,0.92804,0.88931,0.92719,0.61813,0.89675,2.04579,1.39127,0.004852,0.004852,0.004852
54,3694.64,0.88406,2.19551,1.49597,0.92394,0.89049,0.92425,0.61667,0.905,2.05678,1.38971,0.004753,0.004753,0.004753
55,3763.02,0.88176,2.15199,1.49652,0.93346,0.90456,0.92625,0.6159,0.91737,2.02001,1.39786,0.004654,0.004654,0.004654
56,3831.37,0.88873,2.12441,1.47536,0.92803,0.89149,0.92271,0.60746,0.95168,2.12525,1.40796,0.004555,0.004555,0.004555
57,3899.73,0.88323,2.15228,1.49872,0.90636,0.90556,0.92184,0.61998,0.89886,2.07477,1.38579,0.004456,0.004456,0.004456
58,3968.06,0.86998,2.09742,1.46516,0.92933,0.90431,0.92771,0.59437,1.02085,2.18642,1.44163,0.004357,0.004357,0.004357
59,4036.42,0.88272,2.09049,1.47834,0.93447,0.92128,0.93889,0.62833,0.91632,1.99386,1.39588,0.004258,0.004258,0.004258
60,4104.89,0.89366,2.1294,1.49725,0.9369,0.90819,0.93544,0.62159,0.93028,2.06254,1.40248,0.004159,0.004159,0.004159
61,4173.26,0.88073,2.14502,1.48653,0.92612,0.91387,0.92469,0.61639,0.94122,2.07271,1.40882,0.00406,0.00406,0.00406
62,4241.71,0.88331,2.14584,1.48889,0.93538,0.90585,0.93507,0.626,0.89877,1.98336,1.3839,0.003961,0.003961,0.003961
63,4310.12,0.87996,2.06818,1.47734,0.93043,0.91327,0.92988,0.62992,0.90311,1.99173,1.38579,0.003862,0.003862,0.003862
64,4378.46,0.86115,2.06349,1.46412,0.92059,0.90268,0.92511,0.6207,0.89576,2.00153,1.3863,0.003763,0.003763,0.003763
65,4446.81,0.86651,2.05056,1.46249,0.93263,0.91848,0.93126,0.62172,0.89372,1.9782,1.3886,0.003664,0.003664,0.003664
66,4515.19,0.87248,2.06993,1.47453,0.93509,0.91225,0.93846,0.63241,0.88375,1.97201,1.3821,0.003565,0.003565,0.003565
67,4583.55,0.85753,1.99405,1.45882,0.93585,0.92805,0.93522,0.63044,0.88887,1.89007,1.38185,0.003466,0.003466,0.003466
68,4651.91,0.85019,1.99623,1.45126,0.9374,0.91616,0.93062,0.62792,0.90067,1.91784,1.38807,0.003367,0.003367,0.003367
