epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2934.24,0.98188,2.52851,1.55872,0.91609,0.87979,0.91101,0.59856,0.93746,2.28276,1.4067,0.005842,0.005842,0.005842
44,3002.39,0.97623,2.56122,1.56447,0.92668,0.86743,0.91458,0.59801,0.93606,2.19781,1.40863,0.005743,0.005743,0.005743
45,3070.6,0.97323,2.50525,1.55637,0.90627,0.87091,0.90709,0.60225,0.93776,2.22494,1.40667,0.005644,0.005644,0.005644
46,3138.83,0.97309,2.49338,1.56488,0.90726,0.89961,0.918,0.60941,0.9338,2.26424,1.4021,0.005545,0.005545,0.005545
47,3207.11,0.96576,2.48488,1.54239,0.92907,0.89214,0.91506,0.6008,0.94266,2.2257,1.409,0.005446,0.005446,0.005446
48,3275.4,0.96066,2.46578,1.54922,0.90883,0.89186,0.92416,0.61545,0.91164,2.12456,1.39558,0.005347,0.005347,0.005347
49,3343.66,0.95595,2.43298,1.54568,0.89204,0.88002,0.91402,0.60526,0.9409,2.2045,1.40915,0.005248,0.005248,0.005248
50,3411.84,0.96196,2.37891,1.54099,0.94011,0.89929,0.93373,0.61476,0.91811,2.14746,1.39537,0.005149,0.005149,0.005149
51,3480.07,0.96149,2.42413,1.53882,0.90725,0.88993,0.92278,0.61654,0.91843,2.15884,1.39331,0.00505,0.00505,0.00505
52,3548.35,0.94121,2.40967,1.52525,0.92761,0.89586,0.93062,0.6104,0.91599,2.13298,1.39487,0.004951,0.004951,0.004951
53,3616.54,0.92934,2.32986,1.51167,0.91383,0.88315,0.91862,0.60343,0.9324,2.20773,1.40591,0.004852,0.004852,0.004852
54,3684.73,0.93096,2.39091,1.52366,0.91087,0.90056,0.92471,0.61151,0.92249,2.13993,1.3956,0.004753,0.004753,0.004753
55,3752.95,0.94149,2.33751,1.53991,0.92522,0.87255,0.92274,0.60789,0.93047,2.14602,1.40274,0.004654,0.004654,0.004654
56,3821.15,0.93505,2.34459,1.51191,0.92218,0.89316,0.92479,0.61394,0.9267,2.16086,1.39916,0.004555,0.004555,0.004555
57,3889.37,0.92979,2.322,1.52928,0.919,0.88347,0.92761,0.61825,0.91077,2.11682,1.39407,0.004456,0.004456,0.004456
58,3957.57,0.9045,2.27341,1.49466,0.92288,0.90734,0.93346,0.62028,0.9118,2.05156,1.38573,0.004357,0.004357,0.004357
59,4025.81,0.9173,2.2495,1.50459,0.92506,0.90474,0.9294,0.62092,0.91656,2.04323,1.39088,0.004258,0.004258,0.004258
60,4094.1,0.9175,2.24993,1.51752,0.92505,0.91242,0.93257,0.61971,0.91369,2.05509,1.38672,0.004159,0.004159,0.004159
61,4162.35,0.92331,2.24732,1.51946,0.9383,0.90334,0.93589,0.62533,0.90587,1.9869,1.39391,0.00406,0.00406,0.00406
62,4230.61,0.92779,2.28135,1.53048,0.93194,0.91008,0.93463,0.62529,0.90446,2.04102,1.3799,0.003961,0.003961,0.003961
63,4298.86,0.92301,2.26019,1.51186,0.93507,0.89558,0.92567,0.6161,0.91864,2.0827,1.38293,0.003862,0.003862,0.003862
64,4367.11,0.91286,2.23533,1.50661,0.92266,0.91097,0.93035,0.6172,0.91613,2.06078,1.39573,0.003763,0.003763,0.003763
65,4435.33,0.90657,2.22364,1.49384,0.92551,0.89816,0.93085,0.62304,0.8915,1.96569,1.37287,0.003664,0.003664,0.003664
66,4503.59,0.92193,2.20978,1.51192,0.9347,0.89649,0.93483,0.62834,0.91065,2.0272,1.38887,0.003565,0.003565,0.003565
67,4571.81,0.90049,2.17197,1.49399,0.94102,0.919,0.94115,0.62736,0.89597,1.96443,1.37733,0.003466,0.003466,0.003466
68,4640.11,0.89374,2.14091,1.48648,0.94393,0.91354,0.93996,0.6195,0.92663,2.0068,1.3874,0.003367,0.003367,0.003367
69,4708.36,0.89271,2.15567,1.49219,0.9295,0.9046,0.93356,0.6281,0.91017,2.01359,1.38177,0.003268,0.003268,0.003268
70,4776.54,0.8822,2.12807,1.47338,0.94342,0.91242,0.93703,0.629,0.92755,2.06723,1.38858,0.003169,0.003169,0.003169
71,4844.71,0.88005,2.10446,1.48458,0.93177,0.9271,0.93973,0.62278,0.91609,2.01353,1.38734,0.00307,0.00307,0.00307
72,4912.95,0.88903,2.12763,1.48894,0.92706,0.90641,0.93462,0.63406,0.90029,1.9983,1.37556,0.002971,0.002971,0.002971
73,4981.16,0.88264,2.07518,1.45279,0.94257,0.92323,0.94823,0.63362,0.92105,2.01591,1.38396,0.002872,0.002872,0.002872
74,5049.42,0.87926,2.08151,1.46401,0.9384,0.92462,0.93871,0.62957,0.92752,2.04691,1.38953,0.002773,0.002773,0.002773
75,5117.58,0.88452,2.10141,1.47678,0.92939,0.921,0.93795,0.62746,0.92477,2.03636,1.38668,0.002674,0.002674,0.002674
76,5185.79,0.87874,2.08653,1.47317,0.93507,0.92054,0.93317,0.6268,0.9472,2.10011,1.39758,0.002575,0.002575,0.002575
77,5254.04,0.86978,2.05642,1.45673,0.9395,0.92781,0.94085,0.62769,0.93538,2.03184,1.3874,0.002476,0.002476,0.002476
78,5322.27,0.86387,2.02978,1.45043,0.95245,0.92004,0.94597,0.62561,0.98236,2.13534,1.40792,0.002377,0.002377,0.002377
79,5390.41,0.87153,2.08368,1.4653,0.94105,0.92811,0.94348,0.62688,0.94522,2.082,1.39183,0.002278,0.002278,0.002278
80,5458.65,0.84789,2.0235,1.4453,0.93942,0.93136,0.93893,0.6202,0.98475,2.15192,1.41883,0.002179,0.002179,0.002179
81,5526.92,0.8495,2.01314,1.44642,0.94009,0.92705,0.94197,0.62692,0.97818,2.12278,1.41076,0.00208,0.00208,0.00208
82,5595.08,0.84742,2.01631,1.44573,0.9299,0.91975,0.93929,0.62031,0.99281,2.15644,1.41498,0.001981,0.001981,0.001981
83,5663.3,0.84946,2.03718,1.44904,0.93765,0.92288,0.94086,0.61273,1.01932,2.22892,1.43161,0.001882,0.001882,0.001882
84,5731.52,0.84936,1.98574,1.44644,0.94131,0.92021,0.93903,0.6142,1.02787,2.22008,1.4354,0.001783,0.001783,0.001783
85,5799.73,0.83332,1.95539,1.43319,0.9332,0.92829,0.93787,0.61776,0.99203,2.10354,1.41618,0.001684,0.001684,0.001684
86,5867.96,0.83766,1.92657,1.43219,0.94208,0.92975,0.94275,0.61307,1.01676,2.18691,1.43659,0.001585,0.001585,0.001585
87,5936.13,0.82273,1.93733,1.42796,0.94175,0.92985,0.94534,0.61794,0.98512,2.10369,1.41705,0.001486,0.001486,0.001486
88,6004.3,0.82362,1.91262,1.43147,0.93488,0.9297,0.93879,0.61827,0.9695,1.99574,1.40609,0.001387,0.001387,0.001387
89,6072.54,0.81869,1.86559,1.42233,0.94687,0.93413,0.94829,0.62646,0.95964,1.97698,1.39993,0.001288,0.001288,0.001288
90,6140.77,0.80775,1.85856,1.40143,0.94728,0.9289,0.94462,0.62012,0.99209,1.99667,1.42173,0.001189,0.001189,0.001189
91,6209.51,0.80704,1.85726,1.41297,0.93538,0.92771,0.94049,0.62413,0.97713,2.03767,1.41042,0.00109,0.00109,0.00109
92,6277.71,0.8038,1.84668,1.40811,0.94051,0.92913,0.94288,0.62409,0.96764,1.98992,1.40591,0.000991,0.000991,0.000991
